KLVL01V2101,2017-03-02,-0.3905717055423244,10,1.0,-0.03905717055423244,10,-0.3905717055423244
KLVL01V2101,2017-03-03,-0.4109358229449611,10,1.0,-0.04109358229449611,10,-0.41093582294496117
KLVL01V2101,2017-03-06,-0.06497188687614647,10,1.0,-0.006497188687614647,10,-0.06497188687614647
KLVL01V2101,2017-03-07,-0.04478355316059198,10,1.0,-0.004478355316059198,10,-0.04478355316059198
KLVL01V2101,2017-03-08,-0.39477958515809225,10,1.0,-0.03947795851580922,1.0,-0.03947795851580922
KLVL01V2101,2017-03-09,0.007164710195887548,10,1.0,0.0007164710195887548,1.0,0.0007164710195887548
KLVL01V2101,2017-03-10,-0.021507445810378417,10,1.0,-0.0021507445810378415,1.0,-0.0021507445810378415
KLVL01V2101,2017-03-13,-0.47598101075656507,10,1.0,-0.047598101075656506,10,-0.47598101075656507
KLVL01V2101,2017-03-14,-0.20756110744099449,10,1.0,-0.02075611074409945,10,-0.20756110744099449
KLVL01V2101,2017-03-15,-0.3581557089061458,10,1.0,-0.03581557089061458,10,-0.3581557089061458
KLVL01V2101,2017-03-16,-0.3721233069892764,10,1.0,-0.03721233069892764,10,-0.3721233069892764
KLVL01V2101,2017-03-17,-0.007100386423726248,10,1.0,-0.0007100386423726248,10,-0.007100386423726247
KLVL01V2101,2017-03-20,-0.15128275631216534,10,1.0,-0.015128275631216534,10,-0.15128275631216534
KLVL01V2101,2017-03-21,-0.15448209852540903,10,1.0,-0.015448209852540903,10,-0.15448209852540903
KLVL01V2101,2017-03-22,-0.5106325706594885,10,1.0,-0.05106325706594885,10,-0.5106325706594885
KLVL01V2101,2017-03-23,0.1063503065211936,10,1.0,0.010635030652119359,10,0.1063503065211936
KLVL01V2101,2017-03-24,-0.36493545302414543,10,1.0,-0.03649354530241454,10,-0.36493545302414543
KLVL01V2101,2017-03-27,0.20793400098113113,10,1.0,0.02079340009811311,10,0.2079340009811311
KLVL01V2101,2017-03-28,-0.37051423790599697,10,1.0,-0.0370514237905997,10,-0.37051423790599697
KLVL01V2101,2017-03-29,-0.4237574873566791,10,1.0,-0.04237574873566791,10,-0.42375748735667906
KLVL01V2101,2017-03-30,-0.37053926285403505,10,1.0,-0.03705392628540351,10,-0.37053926285403505
KLVL01V2101,2017-03-31,-0.5793649844534801,10,1.0,-0.057936498445348004,10,-0.5793649844534801
KLVL01V2101,Total,-5.352531353402389,220,22.0,-0.5352531353402391,193.0,-4.984321264707065
